time,susceptible,exposed,infected,recovered,new_exposed,new_infected,new_recovered,deaths
0,0.9000000000000021,0.09999999999999745,0.0,0.0,0.09999999999999745,0.0,0.0,0.0
1,0.9000000000000021,0.09993000000000048,7.000000000000056e-05,0.0,0.0,7.000000000000056e-05,0.0,0.0
2,0.8999548715328425,0.09655752036496354,0.0034823599999999444,4.900000000000141e-06,4.513221167883215e-05,0.003417609999999987,4.900000000000141e-06,3.4999999999999247e-07
3,0.8977097598540149,0.08692193124087576,0.015101900000000112,0.00024866000000000677,0.002245120890510949,0.0118807001459857,0.00024375999999999838,1.7759999999999657e-05
4,0.8879981759124094,0.0816844373722628,0.028918333430656865,0.0013057899999999773,0.00971157911678831,0.01494907613138701,0.0010571299999999773,9.327000000000304e-05
5,0.8696070284671507,0.08793105715328468,0.038893976350364984,0.0033300751678831983,0.018391140218978107,0.012144525766423362,0.002024285167883225,0.00023786483211678513
6,0.8453935963503655,0.10335427649635008,0.04476713430656936,0.006052654357664227,0.024213426204379534,0.008790209277372273,0.002722579189781019,0.00043233780291970883
7,0.8183086394160588,0.12305144233576655,0.048797385693430693,0.00918635348175183,0.027084964379562048,0.007387795072992701,0.0031336991240875907,0.0006561791459854025
8,0.7897271145985403,0.14352890000000007,0.053241633357664186,0.012602175401459855,0.028581506569343038,0.008104058277372272,0.003415823430656936,0.0009001687226277369
9,0.7596076569343065,0.1635670766423356,0.05932978182481754,0.0163290991970803,0.030119471824817508,0.010081274416058396,0.003726919153284672,0.0011663724452554735
10,0.7272861693430657,0.1835224613138686,0.06724616751824808,0.020482190072992734,0.032321516715328506,0.012366127817518252,0.004153091029197087,0.001463025408759123
11,0.692174861313868,0.20420872481751806,0.07662773708029193,0.02518942131386865,0.03511128802919705,0.01442503284671534,0.004707231452554747,0.0017992547810218938
12,0.6540780416058393,0.22612816934306537,0.08705803445255468,0.030553361021897783,0.038096830802919694,0.01617738182481751,0.005363940576642338,0.002182394832116787
13,0.6131849138686132,0.24925201167883232,0.09827066007299276,0.03667472255474455,0.04089326766423367,0.017769434452554744,0.006121365131386864,0.0026176894525547457
14,0.5699530379562034,0.23804915109489044,0.144001023357664,0.04488739671532851,0.04323913087591243,0.05444198970802924,0.008212672248175198,0.003109388153284675
15,0.5116859999999999,0.2754928474452556,0.14938662700729938,0.05960388854014598,0.05829226547445253,0.02084856547445258,0.014716490437956205,0.0038306302189781015
